"n","m","rep_id","beta","SCP"
5000,10,9,10,0.078
5000,10,10,1,0.984
5000,10,10,2,0.9372
5000,10,10,3,0.9836
5000,10,10,4,0
5000,10,10,5,0
5000,10,10,6,0
5000,10,10,7,0.006
5000,10,10,8,0.0708
5000,10,10,9,0.0212
5000,10,10,10,0
5000,20,1,1,0.966
5000,20,1,2,0.9312
5000,20,1,3,0.992
5000,20,1,4,0.0076
5000,20,1,5,0
5000,20,1,6,0
5000,20,1,7,0
5000,20,1,8,0.0144
5000,20,1,9,0
5000,20,1,10,0.014
5000,20,1,11,0.04
5000,20,1,12,0
5000,20,1,13,0.0244
5000,20,1,14,0.004
5000,20,1,15,0
5000,20,1,16,0.0492
5000,20,1,17,0.0028
5000,20,1,18,0.032
5000,20,1,19,0
5000,20,1,20,0
5000,20,2,1,0.9772
5000,20,2,2,0.9336
5000,20,2,3,0.984
5000,20,2,4,0
5000,20,2,5,0
5000,20,2,6,0.0172
5000,20,2,7,0.0152
5000,20,2,8,0.0356
5000,20,2,9,0
5000,20,2,10,0
5000,20,2,11,0
5000,20,2,12,0.0148
5000,20,2,13,0
5000,20,2,14,0.0164
5000,20,2,15,0.018
5000,20,2,16,0.0028
5000,20,2,17,4e-04
5000,20,2,18,0
5000,20,2,19,0.042
5000,20,2,20,0.0076
5000,20,3,1,0.9732
5000,20,3,2,0.9288
5000,20,3,3,0.9744
5000,20,3,4,0.0516
5000,20,3,5,0.0624
5000,20,3,6,0.0272
5000,20,3,7,0
5000,20,3,8,0.002
5000,20,3,9,0.0512
5000,20,3,10,0.0124
5000,20,3,11,0
5000,20,3,12,0.016
5000,20,3,13,0
5000,20,3,14,0
5000,20,3,15,0.048
5000,20,3,16,0
5000,20,3,17,0.0028
5000,20,3,18,0
5000,20,3,19,0
5000,20,3,20,0
5000,20,4,1,0.97
5000,20,4,2,0.934
5000,20,4,3,0.974
5000,20,4,4,0.0404
5000,20,4,5,0
5000,20,4,6,0
5000,20,4,7,0.0032
5000,20,4,8,0.0132
5000,20,4,9,0
5000,20,4,10,0.0564
5000,20,4,11,0.0504
5000,20,4,12,0.0464
5000,20,4,13,0
5000,20,4,14,0
5000,20,4,15,0.0164
5000,20,4,16,0.0088
5000,20,4,17,0.0016
5000,20,4,18,0
5000,20,4,19,0.0412
5000,20,4,20,0
5000,20,5,1,0.9784
5000,20,5,2,0.918
5000,20,5,3,0.9712
5000,20,5,4,0
5000,20,5,5,0.0548
5000,20,5,6,0.0028
5000,20,5,7,0.0056
5000,20,5,8,0.0056
5000,20,5,9,0.0084
5000,20,5,10,0
5000,20,5,11,0.0284
5000,20,5,12,0.0216
5000,20,5,13,0
5000,20,5,14,0
5000,20,5,15,0.0332
5000,20,5,16,0.004
5000,20,5,17,0
5000,20,5,18,0
5000,20,5,19,0.0116
5000,20,5,20,0
5000,20,6,1,0.9788
5000,20,6,2,0.9348
