"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
1000,10,2,123,"GGP-GAM",0.152659814404611,NA,0.123532924810786,0.0469449427789833
1000,10,2,123,"GSVC",0.187980527173671,0.92,0.184996873083633,0.205323944768995
1000,10,2,123,"MGWR",0.455249138910683,NA,0.966506178922571,0.029963035859554
1000,10,3,456,"BSGL",0.147016455146958,0.995,0.185575989065142,0.0550632522968279
1000,10,3,456,"GGP-GAM",0.120656671403146,NA,0.0834432746130348,0.0245529032330836
1000,10,3,456,"GSVC",0.172252648767893,0.94,0.165817915933439,0.159108249127818
1000,10,3,456,"MGWR",0.562737720920939,NA,0.895157286400981,0.0673364654346159
1000,10,4,789,"BSGL",0.18603993414188,0.975,0.268223388716691,0.0481514780452878
1000,10,4,789,"GGP-GAM",0.158094955905824,NA,0.101242314189759,0.011168195045691
1000,10,4,789,"GSVC",0.176022620126923,0.93,0.160936879509177,0.133276371981702
1000,10,4,789,"MGWR",0.668758983491766,NA,1.06593589644134,0.0478522697447414
1000,10,5,101,"BSGL",0.165604326624772,0.995,0.232858671240676,0.0511779174142479
1000,10,5,101,"GGP-GAM",0.148113963208106,NA,0.115144854949667,0.0281676702366446
1000,10,5,101,"GSVC",0.179136283107521,0.94,0.137346907129924,0.12428096498311
1000,10,5,101,"MGWR",0.577416518646178,NA,1.22770541555045,0.20969227966682
1000,10,6,202,"BSGL",0.139316506840448,0.985,0.216370024764217,0.0547110074661196
1000,10,6,202,"GGP-GAM",0.121136947629491,NA,0.0748717078402028,0.0259327867973879
1000,10,6,202,"GSVC",0.17953913611989,0.965,0.152755020504045,0.145628102536681
1000,10,6,202,"MGWR",0.466368715468726,NA,1.04228482449572,0.0568687982435689
1000,10,7,303,"BSGL",0.130437257138897,0.995,0.217096862888073,0.0585092821025223
1000,10,7,303,"GGP-GAM",0.098351425489333,NA,0.0711738343630337,0.011053884039036
1000,10,7,303,"GSVC",0.139318620029423,0.96,0.150236472283613,0.144981703119752
1000,10,7,303,"MGWR",0.403791969593446,NA,0.818294426255053,0.0215484905661419
1000,10,8,404,"BSGL",0.163844534391873,1,0.208063900186602,0.0565017303728983
1000,10,8,404,"GGP-GAM",0.138449874040388,NA,0.0942903534114138,0.032518988626088
1000,10,8,404,"GSVC",0.183127313625066,0.935,0.13263212020008,0.157112818173022
1000,10,8,404,"MGWR",0.56594863711426,NA,1.29271272161034,0.103057106211136
1000,10,9,505,"BSGL",0.140386083132782,1,0.220061543351168,0.0527037275816091
1000,10,9,505,"GGP-GAM",0.107680676553112,NA,0.0957245237170157,0.0120684087974074
1000,10,9,505,"GSVC",0.161579069264077,0.955,0.165123524339646,0.124987440254178
1000,10,9,505,"MGWR",0.376250748144219,NA,0.995493212406529,0.0781512340774543
1000,10,10,606,"BSGL",0.153853443681036,0.995,0.243425174746005,0.0502191669850899
1000,10,10,606,"GGP-GAM",0.132688214943631,NA,0.104563331739708,0.0104544192225686
1000,10,10,606,"GSVC",0.15114307817146,0.97,0.150879313589678,0.122412934887087
1000,10,10,606,"MGWR",0.569476991216004,NA,0.867623436533493,0.0307336742681626
1000,20,1,42,"BSGL",0.167814948981979,0.99,0.282570111111916,0.0502666244558937
1000,20,1,42,"GGP-GAM",0.14118917085182,NA,0.0781069456272039,0.0194092540822479
1000,20,1,42,"GSVC",0.225943710609353,0.955,0.206392592391126,0.178452968366354
1000,20,1,42,"MGWR",0.58058162466802,NA,0.964121962471938,0.112960033765506
1000,20,2,123,"BSGL",0.161657350157463,0.995,0.291304611331521,0.052671115985201
1000,20,2,123,"GGP-GAM",0.134334999749794,NA,0.118799644597626,0.0160927552162937
1000,20,2,123,"GSVC",0.229987918724206,0.955,0.302970934152225,0.192524901737184
1000,20,2,123,"MGWR",0.664432594254138,NA,1.2988690181602,0.216984831242081
1000,20,3,456,"BSGL",0.169451861463833,0.995,0.267184707076236,0.047731014969167
1000,20,3,456,"GGP-GAM",0.137463687597712,NA,0.0816909815130118,0.0217309150315673
1000,20,3,456,"GSVC",0.278080305313657,0.965,0.240405632860768,0.176746885826798
1000,20,3,456,"MGWR",0.728458031313164,NA,1.16895773827175,0.165397835105581
1000,20,4,789,"BSGL",0.146565762269064,1,0.277543984009413,0.0425092882293038
1000,20,4,789,"GGP-GAM",0.110295032954578,NA,0.0803922141490501,0.0171985046387968
1000,20,4,789,"GSVC",0.193461470361974,0.965,0.232870650721861,0.162641960871585
1000,20,4,789,"MGWR",0.431081377701445,NA,1.18976282853395,0.102518715731271
1000,20,5,101,"BSGL",0.165186919050834,0.995,0.280422123401703,0.0362636775446037
1000,20,5,101,"GGP-GAM",0.134447685946531,NA,0.0937143836371919,0.010742720518456
1000,20,5,101,"GSVC",0.258736993742988,0.965,0.175640320646653,0.149332659369615
1000,20,5,101,"MGWR",0.577532653192138,NA,1.28964590935365,0.17474914925461
1000,20,6,202,"BSGL",0.160280927500199,0.995,0.264096133618384,0.0518369300814496
1000,20,6,202,"GGP-GAM",0.124178981335644,NA,0.085782437656656,0.0328475209323809
1000,20,6,202,"GSVC",0.214775002089409,0.96,0.228708115541549,0.193157368186612
1000,20,6,202,"MGWR",0.545519813904951,NA,1.04589182834658,0.152901192205293
1000,20,7,303,"BSGL",0.198455491638103,0.995,0.257005850438026,0.050058041436098
1000,20,7,303,"GGP-GAM",0.146254317819096,NA,0.059677571546168,0.0205213348001533
1000,20,7,303,"GSVC",0.323702477110693,0.945,0.236061256380566,0.199909037786634
1000,20,7,303,"MGWR",0.440673676196816,NA,0.886961688709527,0.0595040683231127
1000,20,8,404,"BSGL",0.18566121213691,0.995,0.328903708602365,0.0420934045091356
1000,20,8,404,"GGP-GAM",0.121648076480515,NA,0.0832239027771541,0.0158154932102451
1000,20,8,404,"GSVC",0.265105104807677,0.965,0.261079181416812,0.15064876350965
1000,20,8,404,"MGWR",0.826323589560549,NA,1.34296640423559,0.223971491139544
1000,20,9,505,"BSGL",0.187779039395034,0.985,0.433406893666185,0.0436052756104101
1000,20,9,505,"GGP-GAM",0.164499956857078,NA,0.140446081780616,0.0139047428362596
1000,20,9,505,"GSVC",0.204901151533005,0.96,0.318347999859406,0.144134746605038
